,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
9795723,9795723,house,villa,669975,forsale,7061,m,usahyperequipped,,,,,3,1370,,,1200,true,,,2,,,Hainaut,,4,2,,3,2,,1200m²square meters,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 669,975669975 €",,No,"Place Jamblinne de Meux, 17 1030- Schaerbeek",,3525 - 1589,Hainaut,,,,,,Countryside,242m²square meters,61m²square meters,USA hyper equipped,,,,,,,No,1370m²square meters,,,Yes,40m²square meters,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9764330,9764330,house,exceptionalproperty,1999000,forsale,7730,m,hyperequipped,,,gas,133,6,14069,,,,true,true,true,11,10,,Hainaut,,4,11,,6,5,,,Yes,133 kWh/m²kilowatt hour per square meters,B,20170517002201,Not specified,103776 kWh/year,"€ 1,999,0001999000 €",,No,Bd Delwart 11 7500- Tournai,http://www.arnaud-selection.com,398 - 1520,Hainaut,,,,,10,,952m²square meters,,Hyper equipped,,,,,,,No,14069m²square meters,,,,,Yes,,Yes,,Yes,Gas,Yes,,,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10073275,10073275,house,apartmentblock,230000,forsale,7870,m,,,,,,0,264,,,,,,,,,,Hainaut,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 230,000230000 €","€ 2,6102610 €",Yes,Chaussée de Namur 47 5030- Gembloux,,1268 - VDV021,Hainaut,,,,,,,270m²square meters,,,,,,,,,No,264m²square meters,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018213,10018213,house,house,230000,forsale,7870,m,,,,,,1,264,,,,,,,,,,Hainaut,,,,,1,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 230,000230000 €","€ 2,6102610 €",No,Chaussée de Namur 47 5030- Gembloux,,1219 - VDV024,Hainaut,,,,,,,270m²square meters,,,,,,,,,No,264m²square meters,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147754,10147754,house,house,150000,forsale,7522,m,installed,,good,fueloil,427,2,1033,,,,,true,,,,,Hainaut,Good,3,,Yes,2,,,,,427 kWh/m²kilowatt hour per square meters,F,20220926011287,Not specified,58954 kWh/year,"Make an offer starting from€ 150,000Make an offer starting from150000 €",€ 312312 €,No,"Rue de Roubaix, 60 7520- TEMPLEUVE",,,Hainaut,After signing the deed,,,,,,,,Installed,,,,1,,,,1033m²square meters,,,,,,,,,,Fuel oil,,,,,,,,,Yes,,"Living area (residential, urban or rural)",,No,,Yes,,,No,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,No,,,Sophie GHIO,,,,,,,,,,,,,,,,,,,,,
10145770,10145770,house,house,360000,forsale,6001,m,usainstalled,,justrenovated,gas,,3,790,,true,1,true,true,,,,,Hainaut,Just renovated,3,,Yes,3,1,Yes,1m²square meter,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 360,000360000 €",,No,,,,Hainaut,After signing the deed,,,,,,,,USA installed,20m²square meters,23m²square meters,18m²square meters,1,2,,,790m²square meters,,Connected,Yes,1m²square meter,No,No,No,Yes,No,Gas,Yes,,,,,,,,Yes,,,,,,Yes,No,,,,Yes,,Yes,,,,No,Yes,No,No,Yes,,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
10113802,10113802,house,villa,290000,forsale,7170,m,,,,gas,371,2,955,,,,,,,,,,Hainaut,,4,,,2,,,,,371 kWh/m²kilowatt hour per square meters,E,Not specified,68 kg CO₂/m²,41924 kWh/year,"€ 290,000290000 €",€ 651651 €,No,"Rue de Baume, 147 7100- La Louviere",http://www.century21.be/ikos,2867 - 2916,Hainaut,,,,,,,95m²square meters,,,,,,,,,No,955m²square meters,,,,,,,,,,Gas,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147070,10147070,house,villa,449000,forsale,7170,m,,,asnew,gas,327,4,1063,,,,,,,,,,Hainaut,As new,4,,,4,,,,,327 kWh/m²kilowatt hour per square meters,D,20220922021864,Not specified,Not specified,"€ 449,000449000 €","€ 1,1231123 €",,"22, Place de l'hotel de Ville 7160- Chapelle-Lez-Herlaimont",http://www.bureau-rosa-immobilier.be,,Hainaut,To be defined,,,,,"Living area (residential, urban or rural)",195m²square meters,,,,,,,,,,1063m²square meters,,,Yes,,,,,,,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165111,10165111,house,house,155000,forsale,7100,m,,,,,486,3,160,,true,,,,,1,,,Hainaut,,,1,,3,1,Yes,,,486 kWh/m²kilowatt hour per square meters,F,20220518025986,23 kg CO₂/m²,66085 kWh/year,"€ 155,000155000 €",€ 473473 €,No,"Rue de Baume, 147 7100- La Louviere",http://www.century21.be/ikos,2874 - 2922,Hainaut,,,,,,,,,,,,,,1,,No,160m²square meters,,,Yes,,,,Yes,,,,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9846512,9846512,house,house,90000,forsale,7970,m,,,torestore,,,0,134,,,15,,,,,,,Hainaut,To restore,2,,,,,,15m²square meters,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 90,00090000 €",€ 157157 €,No,,,,Hainaut,Immediately,,,,,"Living area (residential, urban or rural)",140m²square meters,,,,,,,,,No,134m²square meters,,,No,,,,,,,,No,,,,,,,,,,,,,,No,,,,,No,,No,,,,No,No,No,No,No,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
10166043,10166043,house,house,225000,forsale,7181,m,installed,,justrenovated,gas,200,3,0,,true,,,,,,,,Hainaut,Just renovated,,,,3,,Yes,,,200 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,"€ 225,000225000 €",,No,Rue de la Station 38 7090- Braine-le-Comte,http://www.century21.be/excellent-tubize,5467 - 87459997,Hainaut,,,,,,,,,Installed,,,,1,1,,No,,,,,,,,,,,Gas,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164905,10164905,house,villa,300000,forsale,7100,m,installed,,,fueloil,432,6,800,,true,,true,true,,1,,,Hainaut,,,1,,6,1,Yes,,Yes,432 kWh/m²kilowatt hour per square meters,F,20150212017737,Not specified,88872 kWh/year,"Make an offer starting from€ 300,000Make an offer starting from300000 €","€ 1,0901090 €",No,"Chaussée de Mons, 57 7100- HAINE-SAINT-PIERRE",,,Hainaut,After signing the deed,,,,,,,,Installed,,,,,1,,,800m²square meters,,,,,,,,,,Fuel oil,Yes,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,Marc FAUCON,,,,,,,,,,,,,,,,,,,,,
10138850,10138850,house,house,115000,forsale,6060,m,installed,,tobedoneup,gas,365,2,10,true,,,true,,,,,,Hainaut,To be done up,2,,Yes,2,,,,,365 kWh/m²kilowatt hour per square meters,E,20220622019895,Not specified,Not specified,"€ 115,000115000 €",€ 349349 €,,Rue Albert Camus 40 6031- Monceau-Sur-Sambre,,,Hainaut,After signing the deed,,,,,"Living area (residential, urban or rural)",,,Installed,16m²square meters,11m²square meters,,1,1,Yes,,10m²square meters,,Connected,Yes,10m²square meters,,,,,,Gas,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deglume Nathan,,,,,,,,,,,,,,,,,,,,,
10139584,10139584,house,villa,225000,forsale,6534,m,installed,1970,,fueloil,640,3,562,,true,,,,,1,1,,Hainaut,,4,1,,3,1,Yes,,,640 kWh/m²kilowatt hour per square meters,G,20220902002157,160 kg CO₂/m²,91393 kWh/year,"€ 225,000225000 €",,No,rue de bomerée 134 6110- Montigny-le-Tilleul,http://www.trassudimmo.com,2555,Hainaut,,,1970,,1,,100m²square meters,,Installed,,,,,1,,No,562m²square meters,,,,,,,,,,Fuel oil,No,,,,,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10139772,10139772,house,villa,680000,forsale,7700,m,installed,2008,asnew,gas,166,5,1104,,,,true,true,,,7,,Hainaut,As new,4,,Yes,5,2,,,Yes,166 kWh/m²kilowatt hour per square meters,B,20220924001883,Not specified,38834 kWh/year,"€ 680,000680000 €","€ 2,0232023 €",No,"Rue de Tourcoing, 86 7700- Mouscron",,,Hainaut,To be defined,,2008,,7,Urban,,,Installed,,,,1,3,,,1104m²square meters,,Connected,,,,,,,,Gas,Yes,,,,,Yes,South,,Yes,,"Living area (residential, urban or rural)",,,,Yes,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,,,,,35m²square meters,,,,Michaël LOIN,,,,,,,,,,,,,,,,,,,,,
9984687,9984687,house,mixedusebuilding,279000,forsale,7000,m,,,good,gas,,2,140,,true,,true,,,,,,Hainaut,Good,3,,,2,,Yes,,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 279,000279000 €",,Yes,Chaussée de Roeulx 289 B 7000- Mons,http://www.house-immobilier.be,,Hainaut,,,,6 m,,"Living area (residential, urban or rural)",210m²square meters,30m²square meters,,,,,,,,No,140m²square meters,,Connected,Yes,40m²square meters,,,,,,Gas,Yes,,,,16m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,South,,,,,,,,,,,,Béguinage,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144077,10144077,house,apartmentblock,325000,forsale,7080,m,installed,,,electric,327,5,173,,true,173,true,,,,,,Hainaut,,2,,,5,2,Yes,173m²square meters,,327 kWh/m²kilowatt hour per square meters,D,20211026003027,Not specified,46020 kWh/year,"€ 325,000325000 €","€ 1,1731173 €",Yes,Avenue d'Hyon 1 7000-Mons,http://www.bierlaire.be,1004265,Hainaut,,,,,,,200m²square meters,33m²square meters,Installed,,,,,2,,No,173m²square meters,,,,20m²square meters,,,,,,Electric,Yes,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,Kathy 10,,,,,,,,,,,,,,,,,,,,,
10150777,10150777,house,house,149000,forsale,7390,m,semiequipped,,good,gas,606,3,0,true,true,,true,,,,,,Hainaut,Good,3,,,3,1,Yes,,Yes,606 kWh/m²kilowatt hour per square meters,G,20220927013739,Not specified,72434 kWh/year,"€ 149,000149000 €",€ 535535 €,No,Chaussée de Bruxelles 54 7000- Mons,http://www.alliance-partners.be,2022092,Hainaut,,,,,,,160m²square meters,,Semi equipped,,,,,1,Yes,No,,,,,,No,No,No,Yes,No,Gas,Yes,,,,,,,,,,,,,,No,No,,,,,,,,,,No,,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163050,10163050,house,house,75000,forsale,7012,m,,,,fueloil,547,2,110,,true,49,,,,,,,Hainaut,,2,,,2,1,Yes,49m²square meters,,547 kWh/m²kilowatt hour per square meters,G,20221004027295,Not specified,67038 kWh/year,"€ 75,00075000 €",€ 399399 €,No,Rue de Nimy 31A/0-1 7000- Mons,http://www.immo-geo.be,399,Hainaut,,,,,,,96m²square meters,14m²square meters,,,,,,1,,No,110m²square meters,,,,,,,,,,Fuel oil,No,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,Jonathan Albert,,,,,,,,,,,,,,,,,,,,,
10149462,10149462,house,villa,188000,forsale,6500,m,installed,1980,asnew,gas,238,3,1437,true,,,true,,,3,8,,Hainaut,As new,4,3,,3,1,,,Yes,238 kWh/m²kilowatt hour per square meters,D,2259E1156765H,49 kg CO₂/m²,20606 kWh/year,"€ 188,000188000 €",€ 600600 €,,Chaussée de Charleroi 186 6511- Stree,http://www.century21.be/excell-immo,,Hainaut,,,1980,,8,,90m²square meters,28m²square meters,Installed,9m²square meters,9m²square meters,14m²square meters,,1,Yes,No,1437m²square meters,24 mmeters,Not connected,Yes,,,,,,,Gas,Yes,,,1,8m²square meters,Yes,South,,Yes,,,,,,,,,,,Yes,Yes,,,,Yes,,Yes,Yes,Yes,Yes,South,,,,,,,,,,,,,,,,,,,,Philippe Albero,,,,,,,,,,,,,,,,,,,,,
9989468,9989468,house,house,30000,forsale,7170,m,installed,,good,gas,612,2,0,true,true,,true,,,1,1,,Hainaut,Good,3,1,Yes,2,1,Yes,,Yes,612 kWh/m²kilowatt hour per square meters,G,20220504017791,Not specified,94279 kWh/year,,€ 684684 €,No,"Avenue de la Motte Baraffe, 20 7180- SENEFFE",,,Hainaut,,,,,1,Urban,,,Installed,,,,,1,Yes,,,,Connected,,,,,,,,Gas,Yes,,,,,,,,Yes,,"Living area (residential, urban or rural)",Yes,No,,,,,No,,,Yes,,,,,,,,,,,,,,,,,No,,Yes,,,,,,,,No,,,Vinciane BOUCHEZ,,"€ 30,00030000€",€ 750750€,Yes,,Yes,1,,,,,,,,75,,,,,,
9937165,9937165,house,house,50000,forsale,6061,m,notinstalled,,torenovate,,543,1,66,true,true,,true,,,,,,Hainaut,To renovate,2,,,1,1,Yes,,Yes,543 kWh/m²kilowatt hour per square meters,G,20220521011468,155 kg CO₂/m²,32454 kWh/year,"Make an offer starting from€ 50,000Make an offer starting from50000 €",€ 237237 €,No,"Av. Mascaux, 570 6001- Marcinelle",http://www.immo-futur.be,4764300,Hainaut,After signing the deed,,,,,Urban,60m²square meters,23m²square meters,Not installed,23m²square meters,,,1,,Yes,No,66m²square meters,4.68 mmeters,Connected,Yes,,No,Yes,,Yes,,,Yes,Property partially or completely located in a circumscribed waterside zone,Link to the virtual visit,,,,,,,,"Living area (residential, urban or rural)",,No,,,,60m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10126354,10126354,house,house,65000,forsale,7000,m,,,tobedoneup,gas,378,4,300,true,true,,,,,,,,Hainaut,To be done up,2,,Yes,4,1,Yes,,,378 kWh/m²kilowatt hour per square meters,E,20220908019758,69 kg CO₂/m²,120341 kWh/year,,"€ 1,1991199 €",No,rue des droits de l'homme 6 A/03 7050- JURBISE,,,Hainaut,To be defined,,,,,Urban,,,,,,,,2,Yes,No,300m²square meters,,,,,,,,,,Gas,,Non flood zone,,,,,,,Yes,,Residential area with cultural historical aesthetic value,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Maryvonne Dumonceau Immobilière,,"€ 65,00065000€","€ 1,3001300€",Yes,Yes,Yes,2,,,,,,,"66, 79",,,,,,,
9835486,9835486,house,house,85000,forsale,7641,m,,,torenovate,carbon,645,2,490,,,,,,,,2,,Hainaut,To renovate,2,,,2,,,,,645 kWh/m²kilowatt hour per square meters,G,20120915006771,Not specified,74935 kWh/year,"Make an offer starting from€ 85,000Make an offer starting from85000 €",€ 161161 €,No,Chaussée de Mons 5 7534- Barry,,,Hainaut,After signing the deed,,,,2,Countryside,,,,,,,1,1,,,490m²square meters,,,,,,,,,,Carbon,No,,,,,,,,,,"Living area (residential, urban or rural)",,No,,,,,No,,,,,,,,,,,,,,,,,,,,No,,No,,,,,,,,No,,,Hélène RONLEZ,,,,,,,,,,,,,,,,,,,,,
9893752,9893752,house,house,69000,forsale,7520,m,notinstalled,1930,torenovate,,831,2,415,true,,300,,,,,,,Hainaut,To renovate,2,,Yes,2,1,,300m²square meters,,831 kWh/m²kilowatt hour per square meters,G,20220114003689,237 kg CO₂/m²,94886 kWh/year,"€ 69,00069000 €",€ 275275 €,No,"Rue du Quesnoy, 36 7500- Tournai",http://www.likeimmo.be,4727408,Hainaut,After signing the deed,May 11 2022 - 12:00 AM,1930,,,,120m²square meters,,Not installed,10m²square meters,11m²square meters,,1,1,Yes,No,415m²square meters,,,,,,,,,,,,,Link to the virtual visit,,13m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026707,10026707,house,house,90000,forsale,7370,m,,,torenovate,carbon,716,2,250,true,true,130,,,,1,2,,Hainaut,To renovate,3,1,,2,1,Yes,130m²square meters,,716 kWh/m²kilowatt hour per square meters,G,20220705035237,Not specified,75986 kWh/year,"Make an offer starting from€ 90,000Make an offer starting from90000 €",€ 260260 €,No,rue de Valenciennes 42 7380- Quiévrain,,4810979,Hainaut,After signing the deed,,,,2,,106m²square meters,28m²square meters,,9m²square meters,12m²square meters,,1,1,Yes,No,250m²square meters,,Connected,No,,,,,,,Carbon,,Non flood zone,,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUIEVRAIN -HENSIES-DOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9787723,9787723,house,house,95000,forsale,7500,m,notinstalled,,,gas,690,2,246,true,true,200,true,,,,,,Hainaut,,2,,,2,,Yes,200m²square meters,,690 kWh/m²kilowatt hour per square meters,G,20220301000360,Not specified,64146 kWh/year,"€ 95,00095000 €",€ 396396 €,No,Boulevard Delwart 22/B 7500- Tournai,,4676084,Hainaut,After signing the deed,,,,,,105m²square meters,,Not installed,,,,,1,Yes,No,246m²square meters,,Connected,Yes,25m²square meters,No,No,,Yes,,Gas,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10069585,10069585,house,house,99000,forsale,7711,m,semiequipped,1930,torenovate,gas,694,3,80,,true,,true,,,,,,Hainaut,To renovate,3,,,3,1,Yes,,,694 kWh/m²kilowatt hour per square meters,G,20211108016077,8 kg CO₂/m²,102575 kWh/year,"€ 99,00099000 €",€ 329329 €,No,Rue de Menin 400 7700- Mouscron,http://www.cabinet069.be,4604121,Hainaut,After signing the deed,,1930,,,,130m²square meters,33m²square meters,Semi equipped,10m²square meters,11m²square meters,11m²square meters,1,,,No,80m²square meters,,Connected,Yes,20m²square meters,No,No,,Yes,No,Gas,Yes,Non flood zone,,,23m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126188,10126188,house,house,100000,forsale,7080,m,semiequipped,,good,gas,503,1,180,,,,true,,,,,,Hainaut,Good,3,,,1,1,,,Yes,503 kWh/m²kilowatt hour per square meters,F,20220922030620,Not specified,36392 kWh/year,"€ 100,000100000 €",€ 216216 €,No,rue de Valenciennes 42 7380- Quiévrain,,4935382,Hainaut,After signing the deed,,,,,,,13m²square meters,Semi equipped,13m²square meters,,,1,1,,No,180m²square meters,,Connected,Yes,,,,,,,Gas,,Non flood zone,,,27m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BORINAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10132648,10132648,house,house,110000,forsale,7370,m,semiequipped,,good,,129,2,90,,,,,,,,,,Hainaut,Good,2,,,2,1,,,,129 kWh/m²kilowatt hour per square meters,B,20120801009151,Not specified,14297 kWh/year,"€ 110,000110000 €",,No,rue de Valenciennes 42 7380- Quiévrain,,4881795,Hainaut,Depending on the tenant,,,,,,80m²square meters,35m²square meters,Semi equipped,15m²square meters,12m²square meters,,1,1,,No,90m²square meters,,,,,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAUTS PAYS - DOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103937,10103937,house,house,100000,forsale,7866,m,notinstalled,,torenovate,fueloil,412,2,920,true,true,,,,,,,,Hainaut,To renovate,2,,,2,1,Yes,,,412 kWh/m²kilowatt hour per square meters,E,20220908019399,101 kg CO₂/m²,40793 kWh/year,"€ 100,000100000 €",€ 203203 €,,"93, Rue de L'hôtellerie7860- Lessines",,,Hainaut,After signing the deed,,,,,"Living area (residential, urban or rural)",,,Not installed,9m²square meters,17m²square meters,,,1,Yes,,920m²square meters,,,Yes,,,,,,,Fuel oil,Yes,Non flood zone,,,16m²square meters,,,,Yes,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10056757,10056757,house,house,110000,forsale,7520,m,installed,,good,gas,373,3,580,,,,,,,,,,Hainaut,Good,2,,Yes,3,1,,,,373 kWh/m²kilowatt hour per square meters,E,20220715019033,Not specified,43425 kWh/year,"Make an offer starting from€ 110,000Make an offer starting from110000 €",€ 216216 €,No,"Rue de Roubaix, 60 7520- TEMPLEUVE",,,Hainaut,After signing the deed,,,,,,,,Installed,,,,,1,,,580m²square meters,,,,,,,,,,Gas,,,,,,,,,Yes,,"Living area (residential, urban or rural)",,No,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,No,,,Sophie GHIO,,,,,,,,,,,,,,,,,,,,,
10130826,10130826,house,house,110000,forsale,7370,m,semiequipped,,good,,287,2,92,,,,,,,,,,Hainaut,Good,3,,,2,1,,,,287 kWh/m²kilowatt hour per square meters,D,20120801008805,Not specified,36343 kWh/year,"€ 110,000110000 €",,No,rue de Valenciennes 42 7380- Quiévrain,,4891942,Hainaut,Depending on the tenant,,,,,Urban,96m²square meters,35m²square meters,Semi equipped,10m²square meters,14m²square meters,,,1,,No,92m²square meters,,,,,,,,,,,Yes,Non flood zone,,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAUTS PAYS - DOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10014850,10014850,house,house,120000,forsale,6141,m,notinstalled,,,gas,376,3,0,,,,true,,,,,,Hainaut,,2,,,3,,,,Yes,376 kWh/m²kilowatt hour per square meters,E,20220527018895,Not specified,57242 kWh/year,"€ 120,000120000 €",€ 446446 €,No,Rue du Moulin 2 7100- La louvière,http://www.actualimmo.be/fr/estimation,4809747,Hainaut,,,,,,Urban,152m²square meters,24m²square meters,Not installed,11m²square meters,16m²square meters,19m²square meters,2,2,,,,,,Yes,,No,No,,Yes,No,Gas,,,,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090738,10090738,house,house,126000,forsale,6230,m,semiequipped,1964,,,,2,353,true,true,,,true,,1,,,Hainaut,,3,1,,2,,,,,Not specified,Not specified,20220817005793,Not specified,Not specified,"€ 126,000126000 €",,,Avenue de la Gare 12 6238- Luttre,http://www.jardinsdewallonie.be,,Hainaut,After signing the deed,,1964,6 m,,Urban,80m²square meters,25m²square meters,Semi equipped,16m²square meters,10m²square meters,,1,2,Yes,No,353m²square meters,6 mmeters,Connected,Yes,,,,,Yes,,,,,,,6m²square meters,Yes,East,,,,,,,6m²square meters,Yes,,,,,,,,9m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,LES JARDINS DE WALLONIE SCRL,,,,,,,,,,,,,,,,,,,,,
10132883,10132883,house,house,129000,forsale,6044,m,installed,1960,tobedoneup,pellet,591,2,0,,true,,true,,,,,,Hainaut,To be done up,2,,,2,2,Yes,,,591 kWh/m²kilowatt hour per square meters,G,20220416005465,591 kg CO₂/m²,79363 kWh/year,"Make an offer starting from€ 129,000Make an offer starting from129000 €",€ 880880 €,Yes,Rue longue 686200- Bouffioulx,http://www.immovalle-sanz.be,4957020,Hainaut,Depending on the tenant,,1960,,,,100m²square meters,205m²square meters,Installed,11m²square meters,11m²square meters,,2,2,,Yes,,,Connected,Yes,22m²square meters,No,No,,Yes,,Pellet,Yes,Non flood zone,,,6m²square meters,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10074751,10074751,house,house,129000,forsale,7700,m,,,tobedoneup,gas,425,2,0,,true,,,,,,,,Hainaut,To be done up,2,,,2,1,Yes,,,425 kWh/m²kilowatt hour per square meters,E,20220331018520,Not specified,Not specified,"€ 129,000129000 €",€ 401401 €,No,Avenue de Maire 202 7500- Tournai,http://www.henro-immo.be,3545 - VM037,Hainaut,After signing the deed,,,,,,110m²square meters,,,,,,,1,,No,,,,,,,,,,,Gas,,,,,,,,No,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113901,10113901,house,house,130000,forsale,7500,m,,,torenovate,,805,2,50,,true,,,,,,,,Hainaut,To renovate,2,,,2,,Yes,,,805 kWh/m²kilowatt hour per square meters,G,20220905003897,Not specified,91227 kWh/year,"€ 130,000130000 €",€ 418418 €,No,Avenue de Maire 202 7500- Tournai,http://www.henro-immo.be,3584 - V3701,Hainaut,,,,,,,115m²square meters,,,,,,,,,No,50m²square meters,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
