,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
10122997,As new,4,1,,6,2,Yes,400m²square meters,,268 kWh/m²kilowatt hour per square meters,D,20220822027134,67 kg CO₂/m²,88456 kWh/year,"Make an offer starting from€ 550,000Make an offer starting from550000 €","€ 1,1151115 €",No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4936054,Hainaut,,,,25 m,8,Isolated,330m²square meters,36m²square meters,Semi equipped,30m²square meters,11m²square meters,10m²square meters,2,3,Yes,No,1228m²square meters,50 mmeters,Connected,No,420m²square meters,No,Yes,Yes,Yes,No,Fuel oil,Yes,Non flood zone,,,20m²square meters,,,,Yes,10m²square meters,,,,20m²square meters,Yes,,190m²square meters,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
9948845,Good,4,1,,4,2,,,,210 kWh/m²kilowatt hour per square meters,C,2022402002606,39 kg CO₂/m²,43032 kWh/year,"€ 460,000460000 €","€ 1,4351435 €",No,Place Ernest Dubois 6 1390- Grez-Doiceau,,4785799,Hainaut,After signing the deed,,1998,15 m,4,Isolated,227m²square meters,44m²square meters,Installed,16m²square meters,14m²square meters,15m²square meters,,2,,No,1531m²square meters,42 mmeters,Connected,Yes,60m²square meters,No,Yes,,Yes,No,Gas,Yes,,,,20m²square meters,,,,,22m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165268,Good,2,,,1,1,,,,421 kWh/m²kilowatt hour per square meters,E,20141012004390,Not specified,Not specified,"€ 86,50086500 €",€ 143143 €,No,Rue De fuisseaux 115 7333- Tertre,http://www.century21-horizon.be,6202 - 8058215,Hainaut,After signing the deed,,,,,,69m²square meters,,Not installed,15m²square meters,,,,1,,No,13m²square meters,,,Yes,,,,,,,Electric,Yes,Non flood zone,Link to the virtual visit,,15m²square meters,,,No,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10122996,As new,4,1,,6,2,Yes,400m²square meters,,268 kWh/m²kilowatt hour per square meters,D,20220822027134,67 kg CO₂/m²,88456 kWh/year,"Make an offer starting from€ 550,000Make an offer starting from550000 €","€ 1,1151115 €",No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4936053,Hainaut,,,,25 m,8,Isolated,330m²square meters,36m²square meters,Semi equipped,30m²square meters,11m²square meters,10m²square meters,2,3,Yes,No,1228m²square meters,50 mmeters,Connected,No,420m²square meters,No,Yes,Yes,Yes,No,Fuel oil,Yes,Non flood zone,,,20m²square meters,,,,Yes,10m²square meters,,,,20m²square meters,Yes,,190m²square meters,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10094702,Good,4,,,4,1,,,Yes,198 kWh/m²kilowatt hour per square meters,C,20220331018745,49 kg CO₂/m²,Not specified,"€ 515,000515000 €",,,Rue de Saintes 11/3 1400- Nivelles,,,Hainaut,After signing the deed,,1999,,5,"Living area (residential, urban or rural)",215m²square meters,40m²square meters,Installed,15m²square meters,15m²square meters,22m²square meters,1,,Yes,No,1248m²square meters,,,,,,,Yes,,,Fuel oil,,,,,18m²square meters,Yes,South East,,,9m²square meters,"Living area (residential, urban or rural)",,,15m²square meters,Yes,,,,,Yes,Yes,Yes,,,,,,,,,South East,,,,,,,,,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094730,Good,4,,,4,1,,,Yes,198 kWh/m²kilowatt hour per square meters,C,20220331018745,49 kg CO₂/m²,Not specified,"€ 515,000515000 €",,,Rue de Saintes 11/3 1400- Nivelles,,,Hainaut,After signing the deed,,1999,,5,"Living area (residential, urban or rural)",215m²square meters,40m²square meters,Installed,15m²square meters,15m²square meters,22m²square meters,1,,Yes,No,1248m²square meters,,,,,,,Yes,,,Fuel oil,Yes,,,,18m²square meters,Yes,South East,,,9m²square meters,"Living area (residential, urban or rural)",,,15m²square meters,Yes,,,,,Yes,,,,,,,,,,,South East,,,,,,,,,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016535,Good,2,,,2,1,Yes,56m²square meters,,263 kWh/m²kilowatt hour per square meters,D,20220712017581,65 kg CO₂/m²,40010 kWh/year,"€ 79,00079000 €",€ 416416 €,No,Avenue des Ardennes 1/02 4500- Huy,http://www.immo-bertrand.be,2793 - 2450,Hainaut,After signing the deed,,,,,,153m²square meters,30m²square meters,Semi equipped,,,,,2,,No,205m²square meters,5.1 mmeters,,Yes,15m²square meters,,,,,,Gas,Yes,,,,,,North West,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10142416,Good,3,1,,3,1,Yes,,,558 kWh/m²kilowatt hour per square meters,G,20150608000301,102 kg CO₂/m²,14741 kWh/year,"€ 165,000165000 €",€ 446446 €,No,Rue Chalmagne 2 6120- Marbaix (Ht.),http://www.burima.be,1899 - 1667,Hainaut,After signing the deed,,,,,Urban,145m²square meters,,Installed,,,,,2,,No,135m²square meters,,,Yes,,,,,Yes,,Gas,Yes,,Link to the virtual visit,,,Yes,West,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147794,To be done up,4,2,,4,2,Yes,,Yes,190 kWh/m²kilowatt hour per square meters,C,20120801004626,48 kg CO₂/m²,Not specified,"€ 1,795,0001795000 €",,,Rue de Saintes 11/3 1400- Nivelles,,,Hainaut,After signing the deed,,2006,,5,"Living area (residential, urban or rural)",530m²square meters,75m²square meters,Hyper equipped,20m²square meters,45m²square meters,18m²square meters,,,,No,4202m²square meters,,,,,,,Yes,,,Fuel oil,Yes,,,1,22m²square meters,Yes,East,,Yes,19m²square meters,"Living area (residential, urban or rural)",,,150m²square meters,Yes,,,,,Yes,Yes,Yes,,,,,,,,,East,,,,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100692,To renovate,2,,,3,1,,,,544 kWh/m²kilowatt hour per square meters,G,20220808012215,Not specified,Not specified,"€ 110,000110000 €",€ 470470 €,No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,20254 - VK 4143,Hainaut,After signing the deed,,,,,,120m²square meters,,Semi equipped,50m²square meters,12m²square meters,10m²square meters,,1,,No,150m²square meters,,,,,,,,,,Gas,,Non flood zone,,,2m²square meters,,,No,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10006213,To be done up,2,,,3,1,,252m²square meters,,367 kWh/m²kilowatt hour per square meters,E,20220619000235,91 kg CO₂/m²,46762 kWh/year,"€ 175,000175000 €",,No,"204, Chaussée de Lille 7500- Tournai",http://www.weinvest.be,4713320,Hainaut,After signing the deed,,,5 m,,Urban,103m²square meters,,Semi equipped,14m²square meters,9m²square meters,9m²square meters,,2,,,304m²square meters,6 mmeters,,No,16m²square meters,,,,Yes,,Fuel oil,Yes,,Link to the virtual visit,,25m²square meters,,,,,,,,,,,,52m²square meters,,,,,,42m²square meters,55m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10064790,Good,2,,,2,1,Yes,120m²square meters,,1061 kWh/m²kilowatt hour per square meters,G,20141213002676,193 kg CO₂/m²,138889 kWh/year,"Make an offer starting from€ 139,000Make an offer starting from139000 €",€ 252252 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4868462,Hainaut,After signing the deed,October 1 2022 - 12:00 AM,1930,,,Isolated,120m²square meters,12m²square meters,Installed,19m²square meters,21m²square meters,,1,1,Yes,No,189m²square meters,,Connected,Yes,60m²square meters,No,No,,Yes,No,Gas,Yes,,,,11m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9981219,Good,2,1,,2,1,Yes,40m²square meters,,492 kWh/m²kilowatt hour per square meters,F,20181022011669,90 kg CO₂/m²,55538 kWh/year,"Make an offer starting from€ 160,000Make an offer starting from160000 €",€ 356356 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4805874,Hainaut,After signing the deed,,,,1,Isolated,113m²square meters,15m²square meters,Semi equipped,22m²square meters,11m²square meters,,1,2,Yes,No,162m²square meters,,Connected,Yes,26m²square meters,No,Yes,,Yes,No,Gas,Yes,Non flood zone,,,10m²square meters,,,,Yes,,"Living area (residential, urban or rural)",Yes,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10085156,To be done up,4,1,Yes,2,1,Yes,500m²square meters,,480 kWh/m²kilowatt hour per square meters,F,20210812008945,119 kg CO₂/m²,64122 kWh/year,"Make an offer starting from€ 180,000Make an offer starting from180000 €",€ 981981 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4896290,Hainaut,After signing the deed,September 1 2022 - 12:00 AM,1950,,2,Urban,110m²square meters,,Semi equipped,14m²square meters,12m²square meters,,1,1,,No,450m²square meters,,Connected,Yes,,,,,,,Fuel oil,Yes,,,,,,,,,,"Living area (residential, urban or rural)",,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
10087743,Good,2,,,5,3,Yes,,,296 kWh/m²kilowatt hour per square meters,D,20220308026153,54 kg CO₂/m²,64475 kWh/year,"Make an offer starting from€ 180,000Make an offer starting from180000 €",,Yes,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4897822,Hainaut,To be defined,October 1 2022 - 12:00 AM,1970,9 m,,Isolated,185m²square meters,26m²square meters,Installed,13m²square meters,17m²square meters,10m²square meters,3,3,,No,50m²square meters,9 mmeters,Connected,Yes,,No,No,,Yes,No,Gas,Yes,Non flood zone,,,9m²square meters,,,,,11m²square meters,,,,,,,50m²square meters,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032690,As new,2,1,,3,1,Yes,116m²square meters,,616 kWh/m²kilowatt hour per square meters,G,20131205006569,117 kg CO₂/m²,80155 kWh/year,"Make an offer starting from€ 199,999Make an offer starting from199999 €",€ 485485 €,No,"4, Place Sabatier 6031- MONCEAU-SUR-SAMBRE",,4808588,Hainaut,After signing the deed,,1950,,1,Isolated,190m²square meters,19m²square meters,Installed,12m²square meters,15m²square meters,23m²square meters,1,1,Yes,No,250m²square meters,,Connected,Yes,13m²square meters,No,No,,Yes,No,Gas,Yes,,,,20m²square meters,,,,Yes,,,,,,,Yes,250m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10074053,Good,3,1,,3,1,Yes,590m²square meters,,437 kWh/m²kilowatt hour per square meters,F,20220710008081,108 kg CO₂/m²,92057 kWh/year,"Make an offer starting from€ 199,000Make an offer starting from199000 €",,Yes,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4892467,Hainaut,After signing the deed,November 16 2022 - 12:00 AM,1920,14 m,,Isolated,190m²square meters,34m²square meters,Installed,12m²square meters,21m²square meters,16m²square meters,1,2,Yes,No,745m²square meters,14 mmeters,Connected,No,20m²square meters,No,No,,Yes,No,Fuel oil,Yes,Non flood zone,,,14m²square meters,,,,,,,,,,,,95m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10082840,Good,2,,,5,3,Yes,,,296 kWh/m²kilowatt hour per square meters,D,20220308026153,54 kg CO₂/m²,64475 kWh/year,"Make an offer starting from€ 180,000Make an offer starting from180000 €",,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4896688,Hainaut,To be defined,October 1 2022 - 12:00 AM,1970,9 m,,Isolated,185m²square meters,26m²square meters,Installed,13m²square meters,17m²square meters,10m²square meters,3,3,,No,50m²square meters,9 mmeters,Connected,Yes,,No,No,,Yes,No,Gas,Yes,Non flood zone,,,9m²square meters,,,,,11m²square meters,,,,,,,50m²square meters,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9983755,To renovate,4,1,,7,2,Yes,1000m²square meters,Yes,333 kWh/m²kilowatt hour per square meters,D,20150227011946,61 kg CO₂/m²,Not specified,"Make an offer starting from€ 199,999Make an offer starting from199999 €",€ 609609 €,No,"4, Place Sabatier 6031- MONCEAU-SUR-SAMBRE",,4706382,Hainaut,To be defined,,1923,,4,Isolated,340m²square meters,40m²square meters,Installed,13m²square meters,9m²square meters,14m²square meters,2,2,Yes,No,1320m²square meters,,Connected,No,,No,No,,Yes,No,Gas,,,,,8m²square meters,,,,Yes,9m²square meters,,,,7m²square meters,Yes,,,,11m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10085981,As new,3,1,,3,1,,250m²square meters,,109 kWh/m²kilowatt hour per square meters,B,20191205500932,161 kg CO₂/m²,17572 kWh/year,"Make an offer starting from€ 329,000Make an offer starting from329000 €",,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4896766,Hainaut,After signing the deed,November 17 2022 - 12:00 AM,2018,7 m,2,"Living area (residential, urban or rural)",165m²square meters,15m²square meters,Installed,14m²square meters,13m²square meters,12m²square meters,1,2,Yes,No,371m²square meters,15 mmeters,Connected,Yes,50m²square meters,No,No,,Yes,No,Gas,Yes,Non flood zone,,,16m²square meters,,,,,,,,,,,,70m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10093356,Good,4,1,,3,1,Yes,,,532 kWh/m²kilowatt hour per square meters,G,20220428007635,Not specified,89484 kWh/year,"€ 375,000375000 €",€ 743743 €,No,Chaussée de Charleroi 226 6220- Fleurus,http://www.davidrobin.be,6502 - 3361,Hainaut,After signing the deed,,1965,,1,,133m²square meters,43m²square meters,Semi equipped,16m²square meters,15m²square meters,10m²square meters,1,2,,No,575m²square meters,,,,32m²square meters,,,,,,Fuel oil,Yes,,,1,12m²square meters,,,No,,,,,,12m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10045650,As new,2,,,3,1,Yes,,Yes,496 kWh/m²kilowatt hour per square meters,F,20140501004767,90 kg CO₂/m²,51530 kWh/year,"Make an offer starting from€ 209,000Make an offer starting from209000 €",€ 356356 €,No,"4, Place Sabatier 6031- MONCEAU-SUR-SAMBRE",,4794683,Hainaut,To be defined,,1955,,,Isolated,109m²square meters,,Installed,16m²square meters,13m²square meters,11m²square meters,1,2,Yes,No,140m²square meters,,Connected,Yes,,No,No,Yes,Yes,No,Gas,Yes,,,,,,,,Yes,,,,,16m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002562,Good,2,1,,5,2,Yes,200m²square meters,Yes,329 kWh/m²kilowatt hour per square meters,D,20220616020061,Not specified,81717 kWh/year,"€ 350,000350000 €",€ 537537 €,No,Avenue Louise 433 1050- Bruxelles,http://www.bytheway.immo,4812438,Hainaut,After signing the deed,,,,1,Urban,245m²square meters,36m²square meters,USA semi equipped,16m²square meters,17m²square meters,16m²square meters,2,3,Yes,No,404m²square meters,,Connected,Yes,,,,,,,Fuel oil,Yes,Non flood zone,Link to the virtual visit,,23m²square meters,,,,,13m²square meters,"Living area (residential, urban or rural)",,No,,,,,No,50m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9981509,Good,4,3,,7,5,Yes,,,614 kWh/m²kilowatt hour per square meters,G,2011231002899,Not specified,Not specified,"€ 2,650,0002650000 €","€ 3,3603360 €",No,Chaussée de Louvain 433 1380- Lasne,http://www.sothebysrealty.be,4746857,Hainaut,After signing the deed,,1960,40 m,6,Countryside,800m²square meters,48m²square meters,Hyper equipped,25m²square meters,18m²square meters,22m²square meters,,5,Yes,No,40000m²square meters,40 mmeters,Connected,Yes,260m²square meters,Yes,No,Yes,Yes,No,Gas,,Non flood zone,,,24m²square meters,,,,Yes,16m²square meters,,,,25m²square meters,Yes,Yes,,,20m²square meters,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,Flandre-Occidentale,,,,100m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10153837,Good,3,1,,4,2,,,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 373,000373000 €",,No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,18369 - VK 3583,Hainaut,,,2021,,,,257m²square meters,,Installed,,,,,2,,No,716m²square meters,,,,,,,,,,,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9984912,Good,4,1,,2,1,Yes,10027m²square meters,,375 kWh/m²kilowatt hour per square meters,E,20220606005942,Not specified,Not specified,"€ 663,000663000 €","€ 1,8361836 €",No,Rue De fuisseaux 115 7333- Tertre,http://www.century21-horizon.be,6080 - 8058194,Hainaut,After signing the deed,,1992,,10,,187m²square meters,,Installed,21m²square meters,14m²square meters,,1,2,,No,10389m²square meters,,,Yes,,,,,,Yes,Fuel oil,Yes,Non flood zone,,,11m²square meters,,,No,Yes,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091851,Just renovated,3,1,,5,2,Yes,320m²square meters,Yes,230 kWh/m²kilowatt hour per square meters,C,20220830022551,42 kg CO₂/m²,59577 kWh/year,"Make an offer starting from€ 379,000Make an offer starting from379000 €",,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4901297,Hainaut,,,,6.5 m,,Isolated,260m²square meters,60m²square meters,USA hyper equipped,40m²square meters,12m²square meters,12m²square meters,2,3,Yes,No,470m²square meters,7.5 mmeters,Connected,Yes,,No,Yes,,Yes,No,Gas,Yes,Non flood zone,,,,,,,,12m²square meters,"Living area (residential, urban or rural)",Yes,,16m²square meters,Yes,,116m²square meters,No,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10157740,As new,3,2,,3,1,,195m²square meters,,126 kWh/m²kilowatt hour per square meters,B,20180615000196,23 kg CO₂/m²,33310 kWh/year,"Make an offer starting from€ 315,000Make an offer starting from315000 €","€ 1,0851085 €",No,Avenue du centenaire53/4 1400- Nivelles,http://www.behomepartners.be,4966101,Hainaut,After signing the deed,January 1 2023 - 12:00 AM,2011,,,,237m²square meters,42m²square meters,USA hyper equipped,25m²square meters,12m²square meters,12m²square meters,1,2,,No,195m²square meters,,Connected,Yes,47m²square meters,No,No,Yes,Yes,No,Gas,Yes,Non flood zone,,,24m²square meters,,,,Yes,,"Living area (residential, urban or rural)",Yes,No,25m²square meters,Yes,,,No,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,24m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,
10165328,To renovate,4,1,,2,1,Yes,,,786 kWh/m²kilowatt hour per square meters,G,20220823013115,196 kg CO₂/m²,78667 kWh/year,"€ 165,000165000 €",,Yes,Rue Chalmagne 2 6120- Marbaix (Ht.),http://www.burima.be,1875 - 1680,Hainaut,After signing the deed,,1960,,,,,,Installed,12m²square meters,9m²square meters,,1,2,,No,715m²square meters,,,Yes,,,,,Yes,,Fuel oil,Yes,,,,9m²square meters,Yes,West,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143256,Just renovated,4,,,4,1,,700m²square meters,,210 kWh/m²kilowatt hour per square meters,C,20220928004907,34 kg CO₂/m²,Not specified,"€ 339,000339000 €",,No,Clos Remy Van den Abeele 1/1 7060- Soignies,http://www.capdream.immo,67 - NOE-55,Hainaut,After signing the deed,,1850,,2,,173m²square meters,,USA installed,19m²square meters,16m²square meters,,,2,,No,1300m²square meters,,,Yes,,,,,,,Gas,,,,1,7m²square meters,,South East,No,Yes,,,,,20m²square meters,Yes,,,,,,,,5m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143087,To renovate,3,1,,2,1,Yes,100m²square meters,,1045 kWh/m²kilowatt hour per square meters,G,20220928028285,298 kg CO₂/m²,124092 kWh/year,"€ 149,000149000 €",,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4962230,Hainaut,After signing the deed,January 1 2023 - 12:00 AM,1920,5 m,,Urban,115m²square meters,12m²square meters,Not installed,16m²square meters,16m²square meters,,1,,Yes,No,425m²square meters,6 mmeters,Connected,No,150m²square meters,,,,,,Gas,Yes,Non flood zone,,,9m²square meters,,,,Yes,,,,,,,,100m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9865879,Good,2,,,2,2,Yes,,,242 kWh/m²kilowatt hour per square meters,C,20220418007083,68 kg CO₂/m²,17822 kWh/year,"Make an offer starting from€ 155,000Make an offer starting from155000 €","€ 2,2292229 €",Yes,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4731953,Hainaut,After signing the deed,July 15 2022 - 12:00 AM,1950,4.5 m,,Urban,240m²square meters,20m²square meters,Semi equipped,18m²square meters,10m²square meters,,2,3,,No,190m²square meters,4.5 mmeters,Connected,No,8m²square meters,No,No,,Yes,No,,Yes,Non flood zone,,,10m²square meters,,,,,,,,,,,,160m²square meters,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
