,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,How many fireplaces?,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement surface,Furnished,Surface of the plot,Garden,Garden orientation,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Surroundings type,Living room,Dressing room,Office,Width of the lot on the street,Garden surface,Caretaker,Elevator,Accessible for disabled people,Intercom,TV cable,Visio phone,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Dining room,Basement,Terrace,Subdivision permit,Shower rooms,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water &amp; electricity",Laundry room,Total ground floor buildable,Agent's name,Available date,Bedroom 4 surface,Bedroom 5 surface,Neighbourhood or locality,Living room surface,Terrace surface,Professional space,Armored door,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Attic,Virtual visit,E-level (overall energy performance),Property name,Office surface,Professional space surface,Terrace orientation,Attic surface,Number of annexes,Isolated,Extra information,Monthly charges,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,EPC description,Sea view,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity
10142094,Immediately,,To be done up,3,2,218m²square meters,,Installed,,3,,,,1,1,,,1224m²square meters,,South West,No,No,663 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,,Wood,No,"€ 290,000290000 €",,No,,,,West Flanders,,1,,Yes,No,No,,1000m²square meters,No,No,No,No,Yes,No,,No,,,,,Non flood zone,,,Yes,,,,No,No,Yes,Yes,Connected,Yes,,,,,,,,,40m²square meters,No,No,No,No,No,Yes,No,No,No,All kind,,,,,,,South West,,,,,,,,,,,,,,,,,,,,,,
10103253,At delivery,2022,As new,3,1,180m²square meters,,Installed,,4,,,,1,2,,No,204m²square meters,Yes,North,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 475,000475000 €",,No,Nieuwpoortlaan 29 8660- De Panne,http://www.boetenvastgoed.be,Zannekinstraat 22A,West Flanders,9 m,1,Countryside,,No,No,12 mmeters,,,,,,,,No,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
10103252,At delivery,2022,As new,3,1,180m²square meters,,Installed,,4,,,,1,2,,No,223m²square meters,Yes,North,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 445,000445000 €",,No,Nieuwpoortlaan 29 8660- De Panne,http://www.boetenvastgoed.be,Zannekinstraat 24,West Flanders,9 m,1,Countryside,,No,No,12 mmeters,,,,,,,,No,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
10165694,After signing the deed,1963,As new,2,,,,,,3,,,,1,,,,350m²square meters,,South West,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 385,000385000 €",,No,,,,West Flanders,5 m,,Urban,Yes,No,No,,250m²square meters,,,,,,,,No,,,,,,,Yes,,,,,No,No,No,No,Connected,Yes,,,,,,,,,16m²square meters,No,No,,,,,No,No,No,All kind,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152328,To be defined,,As new,2,,227m²square meters,,Installed,20m²square meters,3,14m²square meters,16m²square meters,30m²square meters,1,2,,,443m²square meters,,South,No,No,86 kWh/m²kilowatt hour per square meters,A,20220917-0002677031-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 329,000329000 €",€ 238238 €,No,,,,West Flanders,7 m,,,,Yes,Yes,7 mmeters,280m²square meters,No,No,No,No,Yes,No,,No,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,Yes,,No,1,Yes,No,No,No,Connected,Yes,Yes,,,,,,,60m²square meters,40m²square meters,Yes,No,No,No,No,Yes,Yes,No,Yes,,Yes,,,,16m²square meters,,South,,,,,,,,,,,,,,,,,,,,,,
9986825,After signing the deed,1928,To be done up,2,,296m²square meters,,,,2,,,,1,2,,,,,,No,No,468 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,,Gas,No,"€ 189,000189000 €",,No,,,,West Flanders,7 m,1,"Living area (residential, urban or rural)",Yes,No,No,,1m²square meter,No,No,No,No,Yes,No,,No,,,,,Non flood zone,,Yes,,,,,No,No,No,No,,Yes,,,,,,,,,,No,No,No,No,No,No,No,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9972810,After signing the deed,1938,To be done up,2,,,,Semi equipped,,3,,,,1,2,,No,455m²square meters,Yes,South,No,No,326 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,,Fuel oil,Yes,"€ 221,000221000 €",€ 312312 €,No,Nieuwpoortlaan 29 8660- De Panne,http://www.boetenvastgoed.be,Beverenstraat 20,West Flanders,,1,,,No,No,10 mmeters,,No,No,Yes,No,Yes,No,No,No,,No,Yes,No,Possible flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10040077,To be defined,2013,As new,3,,,,,,4,17m²square meters,17m²square meters,12m²square meters,1,2,,,400m²square meters,,South West,No,No,57 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,,Gas,Yes,"€ 392,000392000 €",,No,,,,West Flanders,7 m,,Countryside,,Yes,No,,180m²square meters,No,No,No,No,Yes,Yes,,No,,,,,Non flood zone,,,,,,,No,No,No,No,Connected,Yes,Yes,,,,40m²square meters,,,,,No,No,Yes,No,No,Yes,No,Yes,No,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,
10120774,After signing the deed,,Just renovated,2,,177m²square meters,,,,5,18m²square meters,16m²square meters,18m²square meters,,,,,143m²square meters,,West,,,145 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,,Gas,Yes,"€ 320,000320000 €",€ 421421 €,No,,,,West Flanders,,,,,No,No,,25m²square meters,,,,,,,,No,,,,,Non flood zone,,,,,,,No,No,No,No,,No,,,,,14m²square meters,6m²square meters,,,25m²square meters,No,No,,,,,No,No,No,All kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151026,To be defined,1960,Just renovated,,,,,,,2,,,,1,2,,,88m²square meters,,,No,No,Not specified,Not specified,2017091500019938851,Not specified,Not specified,,Gas,Yes,"€ 223,500223500 €",,No,,,,West Flanders,,,"Living area (residential, urban or rural)",Yes,No,No,,,No,No,No,Yes,Yes,Yes,,No,Yes,,No,No,Non flood zone,,Yes,,,Yes,,No,No,No,No,,Yes,Yes,,,,,,,,1m²square meter,No,No,No,No,No,Yes,No,No,No,All kind,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015218,After signing the deed,1997,Good,4,2,263m²square meters,,Hyper equipped,,3,,,,1,2,,,715m²square meters,,,,,333 kWh/m²kilowatt hour per square meters,D,20220425-0002587702-RES-1,Not specified,Not specified,,,Yes,"€ 588,000588000 €","€ 1,0901090 €",No,Distellaan 27/002 8434- Westende,,4842421,West Flanders,,1,"Living area (residential, urban or rural)",,,,,452m²square meters,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,,,,,,,,Yes,,,,,,,Middelkerke,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9989297,After signing the deed,2022,As new,4,,176m²square meters,,,,3,,,,1,2,,No,465m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,"Yes, conform",,,"€ 360,000360000 €",,,Oudenaardsesteenweg 72/1 9800- Deinze,,,West Flanders,,1,"Living area (residential, urban or rural)",,Yes,,,,,,,,,,,,Yes,,No,No,,"Living area (residential, urban or rural)",,,,Yes,,,,,,,Yes,,,Bart Boonaert,,,,,,,,,,,,,Yes,,,,,,30,,,,West,,,,,,,,,,,,,,,,,,,,,,
10088079,After signing the deed,2021,As new,3,,100m²square meters,,Installed,,2,,,,1,1,,,112m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 256,702256702 €",,No,,,,West Flanders,,,"Living area (residential, urban or rural)",Yes,No,No,,,No,No,No,No,Yes,No,,No,Yes,No,,No,Non flood zone,,Yes,,,,,No,No,No,No,Connected,Yes,,,,,,,,,,No,No,No,No,No,Yes,No,No,No,Apartment building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9749552,After signing the deed,2022,As new,3,,204m²square meters,,,,3,,,,1,2,,No,677m²square meters,,,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 383,000383000 €",,No,,,,West Flanders,,,"Living area (residential, urban or rural)",Yes,Yes,No,,,No,No,No,No,Yes,No,,Yes,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,Yes,No,No,Yes,Connected,Yes,Yes,,,,,,,,,No,No,No,No,No,Yes,Yes,No,No,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
9661184,After signing the deed,1918,To be done up,2,,200m²square meters,,Installed,,3,,,,1,2,,No,168m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 199,000199000 €",€ 640640 €,Yes,Nieuwpoortlaan 29 8660- De Panne,http://www.boetenvastgoed.be,Haringestraat 2,West Flanders,,,,,No,No,,,,,,,,,No,No,,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10133892,To be defined,2009,As new,2,,,,Installed,13m²square meters,2,15m²square meters,12m²square meters,,1,2,,,,,South West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 257,000257000 €",€ 562562 €,No,,,,West Flanders,6 m,1,,,No,No,,22m²square meters,No,No,No,Yes,Yes,Yes,,No,,,,,Non flood zone,"Living area (residential, urban or rural)",,,,,,No,No,No,No,Connected,Yes,Yes,,,,,,,31m²square meters,10m²square meters,No,No,No,No,No,Yes,No,No,No,Town-house,,,78,,,,South,17m²square meters,,Yes,,,,,,,,,,,,,,,,,,,
10127199,To be defined,1977,,3,,118m²square meters,1,,12m²square meters,3,14m²square meters,12m²square meters,10m²square meters,1,1,,,223m²square meters,,South,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 325,000325000 €",€ 467467 €,No,,,,West Flanders,10 m,,,Yes,No,No,10 mmeters,118m²square meters,No,No,No,No,Yes,No,,No,,,,,,,Yes,,,,,No,No,No,No,,Yes,Yes,,,,,,,,68m²square meters,No,No,No,No,No,Yes,No,No,No,All kind,,,,,,,North,32m²square meters,1,,,,,,,,,,,,,,,,,,,,
10137361,After signing the deed,,,3,,240m²square meters,,,28m²square meters,3,16m²square meters,13m²square meters,12m²square meters,2,2,,,209m²square meters,,,No,No,227 kWh/m²kilowatt hour per square meters,C,20220927-0002683062-RES-2,Not specified,Not specified,,Gas,Yes,"€ 475,000475000 €","€ 1,0811081 €",No,,,,West Flanders,,,,,Yes,Yes,,,No,No,No,No,Yes,No,,No,Yes,,,,Non flood zone,,Yes,,,,,Yes,No,No,Yes,Connected,Yes,,,,,,,,45m²square meters,50m²square meters,Yes,No,No,No,No,Yes,No,No,No,All kind,,,,,40m²square meters,,,15m²square meters,,Yes,,,,,,,,,,,,,,,,,,,
9780953,To be defined,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,Tieltsteenweg 2A 8750- Wingene,http://www.caerels.be,,West Flanders,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Centrum Zwevezele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9719848,At delivery,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,Harpstraat 5/001 8530- Harelbeke,,,West Flanders,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,St-Elooi (Wingene),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161056,After signing the deed,1985,,3,1,90m²square meters,,Installed,,3,,,,1,2,,Yes,,,,,,335 kWh/m²kilowatt hour per square meters,D,20220926-0002682683-RES-1,Not specified,Not specified,,,,"€ 240,000240000 €",,No,Distellaan 27/002 8434- Westende,,4970822,West Flanders,,,Isolated,,,,,,,,,,,,,,Yes,,No,No,Non flood zone,,,,Yes,Yes,,,,,,,Yes,,,,,,,Westende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131259,After signing the deed,,Good,3,2,120m²square meters,,Installed,,3,,,,1,2,,,384m²square meters,,,,,430 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,,Fuel oil,,"€ 269,000269000 €",€ 634634 €,,Ieperstraat 2 8700- Tielt,,,West Flanders,,1,"Living area (residential, urban or rural)",Yes,,,,,,,,,Yes,,"Yes, conform",,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,Yes,Yes,,,,,Yes,Connected,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,South,,,Yes,,,,,,,,,,,,,,,,,,,
9852048,After signing the deed,,To renovate,2,7,506m²square meters,,,10m²square meters,4,,,,1,,,No,506m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Fuel oil,No,"€ 280,000280000 €",,No,,,,West Flanders,11 m,,,Yes,No,No,,354m²square meters,,,,,,,,No,Yes,,,No,Non flood zone,,Yes,Yes,,,,Yes,No,Yes,No,Connected,Yes,Yes,,,,,,,,20m²square meters,No,No,,,,,No,No,No,All kind,Yes,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
9966636,After signing the deed,1997,Good,2,,153m²square meters,,Hyper equipped,,3,,,,1,2,,,,,,,,379 kWh/m²kilowatt hour per square meters,D,20211104-0002487600-RES-1,Not specified,Not specified,,Gas,Yes,"€ 338,000338000 €",€ 743743 €,No,Distellaan 27/002 8434- Westende,,4783901,West Flanders,,,,,,,,,,,,,,,,,Yes,,No,No,Non flood zone,,,,Yes,,,,,,,,Yes,,,,,,,Lombardsijde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094779,To be defined,2007,As new,4,3,250m²square meters,,Installed,10m²square meters,3,20m²square meters,20m²square meters,20m²square meters,1,2,,,600m²square meters,,North East,No,No,137 kWh/m²kilowatt hour per square meters,B,20220407-0002579048-RES-2,Not specified,Not specified,,Gas,Yes,"€ 449,000449000 €",€ 958958 €,No,,,,West Flanders,,1,,,No,No,,340m²square meters,No,No,No,No,Yes,No,,No,Yes,,No,,Non flood zone,,,,,Yes,1,Yes,No,Yes,Yes,Connected,Yes,Yes,,,,,,,49m²square meters,16m²square meters,No,No,No,No,No,Yes,Yes,No,No,Villa,,,,,,,North East,80m²square meters,1,Yes,,,,,,,,,,,,,,,,,,,
10022881,After signing the deed,,As new,4,5,295m²square meters,,Installed,,4,,,,2,2,,No,16591m²square meters,Yes,South West,Yes,No,169 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,No,,Yes,"€ 1,279,0001279000 €",€ 906906 €,No,Nieuwpoortlaan 29 8660- De Panne,http://www.boetenvastgoed.be,Blauwhuisstraat 4,West Flanders,,2,Countryside,,No,No,,,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Possible flood zone,Area of landscape interest,,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9580746,At delivery,,As new,2,1,,,Installed,,4,,,,1,2,,No,172m²square meters,,South West,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 310,180310180 €",,No,,,,West Flanders,,1,"Living area (residential, urban or rural)",Yes,Yes,No,,1m²square meter,No,No,No,No,No,No,,No,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,No,No,No,No,Connected,Yes,Yes,,,,,,,,,No,No,No,No,No,Yes,Yes,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10095059,After signing the deed,,,3,,185m²square meters,,Installed,,2,,,,,,,,865m²square meters,,,,,890 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,,Gas,No,"€ 225,000225000 €",,No,,,,West Flanders,,,"Living area (residential, urban or rural)",,No,No,10 mmeters,1m²square meter,,,,,,,,No,,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,No,No,No,No,Connected,Yes,,,,,,,,,1m²square meter,No,No,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9755705,To be defined,,As new,3,1,200m²square meters,,Hyper equipped,,3,,,,,2,,No,399m²square meters,Yes,West,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 695,000695000 €",,No,Vismynstraat 13 8380- Zeebrugge,,,West Flanders,,1,,,No,,,,,,,,,,,No,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,1,,,,,Connected,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9755529,To be defined,,As new,3,1,242m²square meters,,Hyper equipped,,3,,,,,2,,No,423m²square meters,Yes,West,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 769,500769500 €",,No,Vismynstraat 13 8380- Zeebrugge,,,West Flanders,,1,,,No,,,,,,,,,,,No,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,1,,,,,Connected,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160684,After signing the deed,,Just renovated,2,,120m²square meters,1,Hyper equipped,,2,12m²square meters,12m²square meters,,1,2,,No,,,,No,No,210 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,,Gas,Yes,"€ 229,000229000 €",€ 329329 €,Yes,,,,West Flanders,,,,Yes,No,No,,,No,No,No,No,Yes,No,"Yes, conform",No,Yes,,,,Non flood zone,"Living area (residential, urban or rural)",Yes,,,,,No,No,No,No,Connected,Yes,Yes,,,,,,,,15m²square meters,No,No,No,No,No,Yes,No,No,No,,Yes,,,,,,South East,,1,Yes,,,,,,,,,,,,,,,,,,,
10091102,Immediately,1935,To renovate,2,,,,,,3,,,,,,,,890m²square meters,Yes,North East,,,523 kWh/m²kilowatt hour per square meters,F,20220829+0002664228-RES-1,Not specified,Not specified,No,,,"€ 235,000235000 €",,,Hugo Verriestlaan 128 8500- Kortrijk,,,West Flanders,5.8 m,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,Cowboy Henk,,,North East,,,,,,,,,,,,,,,,,,,,,,
10062352,Immediately,,To be done up,3,3,,1,,,5,,,,2,2,,,344m²square meters,,,No,No,599 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,,Fuel oil,No,"€ 260,000260000 €","€ 1,1711171 €",No,,,,West Flanders,,1,,Yes,No,Yes,,175m²square meters,No,No,No,No,Yes,No,,No,,,,,,,Yes,Yes,,,,No,No,No,No,,Yes,,,,,,,,,,Yes,No,No,No,No,Yes,No,No,No,All kind,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091672,After signing the deed,,Good,3,,,,Installed,,3,,,,1,2,,,228m²square meters,,,,,305 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,,Gas,Yes,"€ 265,000265000 €",€ 532532 €,,Ieperstraat 2 8700- Tielt,,,West Flanders,,,"Living area (residential, urban or rural)",Yes,,Yes,,,,,,,Yes,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,Yes,Yes,No,,,,,,Connected,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,South East,,,,,,,,,,,,,,,,,,,,,,
10135237,After signing the deed,,Good,3,,162m²square meters,,Hyper equipped,24m²square meters,3,16m²square meters,14m²square meters,12m²square meters,1,1,,,684m²square meters,,South,,,226 kWh/m²kilowatt hour per square meters,C,20220916-0002666722-RES-1,Not specified,Not specified,,Gas,Yes,"€ 339,000339000 €",,No,,,,West Flanders,,,"Living area (residential, urban or rural)",Yes,No,No,,520m²square meters,,,,,,,,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,,,No,No,No,No,Connected,Yes,,150m²square meters,,,,,,,50m²square meters,No,No,,,,,Yes,Yes,No,Bungalow,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,
10017548,To be defined,,As new,,,436m²square meters,,Hyper equipped,,5,,,,,2,,No,605m²square meters,Yes,South East,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,Yes,"€ 800,000800000 €",,No,Robert Vandammestraat 107 8670- Koksijde,,,West Flanders,,,,,No,,,,,,,,,,,No,,,,,,,,Yes,Yes,,,,,,,Connected,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,South East,,,,,,,,,,,,,,,,,,,,,,
10051726,After signing the deed,,To renovate,3,1,,,Semi equipped,,3,,,,1,1,,No,563m²square meters,Yes,South West,,,1178 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Gas,No,"€ 179,000179000 €",€ 250250 €,No,Nieuwpoortlaan 29 8660- De Panne,http://www.boetenvastgoed.be,Oerenstraat 5,West Flanders,8.5 m,1,,,No,No,10.5 mmeters,,,,,,,,No,No,,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10124964,Immediately,2003,Good,4,1,72m²square meters,,Semi equipped,,3,,,,1,2,,No,,,,,,581 kWh/m²kilowatt hour per square meters,F,202209200002678175-RES-1,4260 kg CO₂/m²,Not specified,,,,"€ 239,000239000 €",€ 752752 €,No,Distellaan 27/002 8434- Westende,,4935864,West Flanders,,,,,,,,,,No,,,Yes,,,,,,,,,,,,Yes,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9680872,To be defined,,As new,,1,150m²square meters,,Hyper equipped,,3,,,,,1,,No,355m²square meters,,,No,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,,,,"€ 450,000450000 €",,No,Robert Vandammestraat 107 8670- Koksijde,,,West Flanders,,,,,No,,,,No,No,,,,,,No,,,,,,,,,Yes,,,,,,,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9786627,To be defined,,Good,,,,,Installed,,4,,,,,2,,No,275m²square meters,,,,,400 kWh/m²kilowatt hour per square meters,D,2455302,Not specified,Not specified,No,,Yes,"€ 255,000255000 €","€ 1,0361036 €",No,Robert Vandammestraat 107 8670- Koksijde,,,West Flanders,,1,,,No,,,,,,,,,,,No,Yes,,Yes,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,Yes,No,,,,,,Connected,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9694950,After signing the deed,,To renovate,2,,,,Installed,,2,,,,1,1,,No,89m²square meters,,South West,,,269 kWh/m²kilowatt hour per square meters,C,20220110-0002509238,Not specified,Not specified,No,Gas,No,"€ 99,50099500 €",,No,,,,West Flanders,,,,Yes,No,No,,1m²square meter,,,,,,,,No,,No,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,Yes,,No,,No,No,No,No,Connected,Yes,,,,,,,,,,No,No,,,,,No,No,No,All kind,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051110,At delivery,2022,As new,3,,160m²square meters,,Installed,,3,,,,1,2,,No,100m²square meters,,South West,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 437,500437500 €",,,Rijselsestraat 33 8500- Kortrijk,http://www.vitruvi.be,,West Flanders,8 m,,"Living area (residential, urban or rural)",,,,,42m²square meters,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,Connected,Yes,Yes,,Louis,,,,,,,,,,,,,Yes,,,,,,25,De Gouden Lanteern,,,,,,,,,,,,,,,,,,,,,,,,,
9991844,At delivery,,,4,,175m²square meters,,Not installed,,3,13m²square meters,11m²square meters,11m²square meters,1,2,,,687m²square meters,Yes,South East,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 500,000500000 €",,,Deerlijkseweg 218 8790- Waregem,http://www.micasa.be,,West Flanders,11 m,,,,,,20 mmeters,,,,,,,,,Yes,,,,,Possible flood zone,"Living area (residential, urban or rural)",,,,Yes,,Yes,,,,,,,,Sylvie Coorevits,,,,Houthulst bos,,,,,,,,,,,,,,,,,,,South East,,,,,,,,,,,,,,,,,,,,,,
9991432,At delivery,,,4,,175m²square meters,,Not installed,,3,13m²square meters,11m²square meters,11m²square meters,1,2,,,628m²square meters,Yes,South East,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 539,950539950 €",,,Deerlijkseweg 218 8790- Waregem,http://www.micasa.be,,West Flanders,11 m,1,Countryside,,,,18 mmeters,,,,,,,,,Yes,,,,,Possible flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,,,,,Sylvie Coorevits,,,,,,,,,,,,,,,,,,,,,,,South East,,,,,,,,,,,,,,,,,,,,,,
9987264,At delivery,,,4,,180m²square meters,,Not installed,,3,15m²square meters,13m²square meters,13m²square meters,1,2,,No,817m²square meters,Yes,South East,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 599,265599265 €",,,Deerlijkseweg 218 8790- Waregem,http://www.micasa.be,,West Flanders,12 m,,"Living area (residential, urban or rural)",,,,21 mmeters,,,,,,,,,Yes,,,,,Possible flood zone,"Living area (residential, urban or rural)",,,,Yes,1,Yes,,,,Not connected,No,Yes,,Sylvie Coorevits,,,,Huwynsbossen,,,,,,,,,,,,,,,,,,,South East,,,,,,,,,,,,,,,,,,,,,,
