,Available as of,Available date,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Bedroom 3 surface,Bedroom 4 surface,Basement,Attic,Width of the lot on the street,Terrace surface,Double glazing,Total ground floor buildable,Virtual visit,Bedroom 5 surface,Conformity certification for fuel tanks,Terrace,Neighbourhood or locality,Dining room,Secure access / alarm,Dressing room,Basement surface,Land is facing street,Wooded land,Plot at rear,Flat land,Garden,Garden orientation,Caretaker,Intercom,Visio phone,Type of building,Obligation to build,E-level (overall energy performance),Thermic solar panels,How many fireplaces?,Laundry room,Professional space surface,Professional space,Attic surface,Armored door,Terrace orientation,Number of annexes,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Common water heater,Living room,Agent's name,Current monthly revenue,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Property name,Percentage rented,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Date of the sale
10107467,After signing the deed,,1958,To renovate,4,3,Urban,168m²square meters,33m²square meters,Installed,13m²square meters,4,14m²square meters,14m²square meters,2,,3,,,No,902m²square meters,Connected,Yes,800m²square meters,,,,,773 kWh/m²kilowatt hour per square meters,F,20220802-0002649515-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 380,000380000 €",€ 637637 €,No,"Oude zandstraat , 30 9120- Beveren",http://www.c21locus.be,4928534,East Falnders,10 m,1,12m²square meters,11m²square meters,,,,15m²square meters,,,,,,,9140 Temse - Elversele - Steendorp - Tielrode,,,,84m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10071526,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,No,Yes,No,Non flood zone,,,,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4891422,East Falnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9842651,To be defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,No,No,No,Non flood zone,,,,No,Steenweg op Aalst 96 9620- Zottegem,http://www.immofrancois.be,,East Falnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164687,After signing the deed,,1962,Good,4,,,271m²square meters,,Semi equipped,17m²square meters,3,14m²square meters,14m²square meters,1,,1,,,No,964m²square meters,,,,,,,,700 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,,,,,,,,"€ 365,000365000 €",,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20816 - VK,East Falnders,,1,12m²square meters,,,,,,,,,,,Yes,,,,,28m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166758,After signing the deed,June 30 2022 - 12:00 AM,1950,Good,2,,Urban,,,USA semi equipped,,6,23m²square meters,21m²square meters,6,6,6,,,No,59m²square meters,Connected,Yes,,No,No,Yes,No,227 kWh/m²kilowatt hour per square meters,C,20220525-0002611420-RES-1,671 kg CO₂/m²,Not specified,,Gas,,No,Yes,No,Non flood zone,Residential area with cultural historical aesthetic value,"€ 765,000765000 €","€ 1,7071707 €",Yes,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4973677,East Falnders,,,20m²square meters,20m²square meters,,,,,Yes,,,20m²square meters,,,Gent en omstreken,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10094291,To be defined,,1892,Good,4,,Landscape,192m²square meters,,Installed,,2,,,1,,2,,No,,892m²square meters,Connected,Yes,750m²square meters,No,No,Yes,No,413 kWh/m²kilowatt hour per square meters,E,0002669521-RES-1,Not specified,Not specified,,Gas,,,,,Non flood zone,,"€ 389,000389000 €",€ 234234 €,No,,,,East Falnders,16 m,,,,Yes,,,,Yes,,,,,,,Yes,No,No,,No,No,Yes,No,,South West,No,No,No,,,,No,1,Yes,,No,,No,,2,No,No,No,Yes,No,No,No,Yes,,,,,,,,,,,,,,,,,,,
10164924,At delivery,March 1 2024 - 12:00 AM,2023,As new,3,1,Countryside,177m²square meters,27m²square meters,USA hyper equipped,12m²square meters,3,19m²square meters,13m²square meters,1,,2,,,No,406m²square meters,Connected,Yes,,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,No,,Possible flood zone,"Living area (residential, urban or rural)","€ 329,000329000 €",,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4972766,East Falnders,7.2 m,1,11m²square meters,,,,,,Yes,,,,,Yes,Oost-Vlaanderen,,,,,,,,,,,,,,,,30,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164922,At delivery,March 1 2024 - 12:00 AM,2023,As new,3,1,Countryside,181m²square meters,27m²square meters,USA hyper equipped,12m²square meters,3,19m²square meters,13m²square meters,1,,2,,,No,343m²square meters,Connected,Yes,,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,No,,Possible flood zone,"Living area (residential, urban or rural)","€ 327,000327000 €",,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4972765,East Falnders,7.2 m,1,10m²square meters,,,,,,Yes,,,,,Yes,Oost-Vlaanderen,,,,,,,,,,,,,,,,30,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162581,After signing the deed,October 7 2022 - 12:00 AM,1976,As new,3,,"Living area (residential, urban or rural)",130m²square meters,28m²square meters,USA hyper equipped,,3,13m²square meters,15m²square meters,1,1,2,,,No,418m²square meters,Connected,Yes,43m²square meters,No,No,Yes,No,413 kWh/m²kilowatt hour per square meters,E,Not specified,12 kg CO₂/m²,Not specified,,,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 364,000364000 €",,No,Chaussée d'Alsemberg 528 1180- Uccle,,4969304,East Falnders,,1,9m²square meters,,Yes,,,11m²square meters,Yes,190m²square meters,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164923,At delivery,March 1 2024 - 12:00 AM,2023,As new,3,1,Countryside,184m²square meters,27m²square meters,USA hyper equipped,12m²square meters,3,19m²square meters,14m²square meters,1,,2,,,No,353m²square meters,Connected,Yes,,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,No,,Possible flood zone,"Living area (residential, urban or rural)","€ 329,000329000 €",,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4972764,East Falnders,7.2 m,1,10m²square meters,,,,,,Yes,,,,,Yes,Oost-Vlaanderen,,,,,,,,,,,,,,,,30,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164921,At delivery,March 1 2024 - 12:00 AM,2023,As new,3,1,Countryside,184m²square meters,27m²square meters,USA hyper equipped,12m²square meters,3,19m²square meters,13m²square meters,1,,2,,,No,362m²square meters,Connected,Yes,,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,No,,Possible flood zone,"Living area (residential, urban or rural)","€ 329,000329000 €",,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4972767,East Falnders,7.2 m,1,11m²square meters,,,,,,Yes,,,,,Yes,Oost-Vlaanderen,,,,,,,,,,,,,,,,30,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156449,After signing the deed,,2012,As new,,,,220m²square meters,,Installed,,2,,,2,,2,,,No,220m²square meters,,,,Yes,,,,172 kWh/m²kilowatt hour per square meters,B,20220407-0002580121-res-1,Not specified,Not specified,No,,Yes,Yes,No,,Non flood zone,Residential area with cultural historical aesthetic value,"€ 1,495,0001495000 €","€ 2,0082008 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20767 - VK 4158,East Falnders,,2,,,Yes,,,116m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156511,After signing the deed,,2015,Good,,,,110m²square meters,,Installed,,2,16m²square meters,10m²square meters,1,,1,,,No,110m²square meters,,,,,,,,58 kWh/m²kilowatt hour per square meters,A,45060_G_B 12/06/EP01773/A001/D01/SD002,Not specified,Not specified,No,,,,,,,,"€ 249,000249000 €",€ 932932 €,Yes,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20760 - VK 4059,East Falnders,,1,,,,,,24m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090743,After signing the deed,,1955,To renovate,2,,Urban,76m²square meters,25m²square meters,Not installed,9m²square meters,2,15m²square meters,10m²square meters,1,,2,,,No,58m²square meters,Connected,No,,,,,,511 kWh/m²kilowatt hour per square meters,F,20220901-0002666643-ES-1,Not specified,Not specified,,Gas,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 189,000189000 €",€ 270270 €,No,"Oude zandstraat , 30 9120- Beveren",http://www.c21locus.be,4850027,East Falnders,,,,,,,,,,,,,,Yes,9100 Sint-Niklaas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156447,After signing the deed,,2012,As new,,,,220m²square meters,,Installed,,2,,,2,,2,,,No,220m²square meters,,,,Yes,,,,172 kWh/m²kilowatt hour per square meters,B,20220407-0002580121-res-1,Not specified,Not specified,No,,Yes,Yes,No,,Non flood zone,Residential area with cultural historical aesthetic value,"€ 1,495,0001495000 €","€ 2,0082008 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20765 - VK 4158,East Falnders,,2,,,Yes,,,116m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158899,After signing the deed,,1982,To renovate,,2,,122m²square meters,,Semi equipped,,3,,,1,,1,,,No,642m²square meters,,,,,,,,395 kWh/m²kilowatt hour per square meters,D,20220913-0002672579-RES-1,Not specified,Not specified,No,Gas,,,,,,,"€ 265,000265000 €",€ 629629 €,No,Gentiel Antheunisplein 6 9700- Oudenaarde,http://www.immodhondt.be,2128 - 3547,East Falnders,,1,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114017,After signing the deed,,1986,Good,4,4,,260m²square meters,50m²square meters,Installed,,4,,,1,1,2,,,No,783m²square meters,,Yes,,,,,,529 kWh/m²kilowatt hour per square meters,F,265017-RES-2,Not specified,Not specified,No,Electric,,,,,,,"€ 475,000475000 €","€ 1,1131113 €",No,Zuidlaan 2 9200- Dendermonde,http://www.immotwins.be,15801 - 114121390,East Falnders,16 m,2,,,,,23 mmeters,,Yes,,,,,Yes,,,Yes,,,,,,,Yes,North West,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9968861,After signing the deed,,1964,To be done up,4,2,,185m²square meters,,,,3,25m²square meters,12m²square meters,1,,1,,,No,542m²square meters,,Yes,392m²square meters,,,,,452 kWh/m²kilowatt hour per square meters,E,20220619-0002625529-RES-1,Not specified,Not specified,No,Gas,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €","€ 1,0241024 €",No,Zuidlaan 2 9200- Dendermonde,http://www.immotwins.be,15600 - 114121325,East Falnders,11 m,,,,,,,,Yes,,,,,,,,,,12m²square meters,,,,,,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10099204,After signing the deed,December 1 2022 - 12:00 AM,1930,As new,2,,Isolated,150m²square meters,20m²square meters,USA hyper equipped,22m²square meters,3,16m²square meters,14m²square meters,1,,2,,,No,350m²square meters,,,200m²square meters,,,,,149 kWh/m²kilowatt hour per square meters,B,20220923-0002620618-RES-1,6572 kg CO₂/m²,Not specified,,Gas,,No,No,No,Non flood zone,,"€ 259,000259000 €",€ 389389 €,No,Stationstraat 30 9600- Ronse,,4904623,East Falnders,,,30m²square meters,,,,,30m²square meters,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157583,To be defined,,1965,As new,4,3,,245m²square meters,,Installed,,3,,,1,1,2,,Yes,No,1335m²square meters,,Yes,,,,,,428 kWh/m²kilowatt hour per square meters,E,20220602-0002615485-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 695,000695000 €","€ 1,3561356 €",No,Prinses Josephine Charlottelaan 72 9100- Sint-Niklaas,http://www.heylenvastgoed.be,69321 - WAA-22-TTA-0,East Falnders,,1,,,Yes,,23.76 mmeters,,Yes,,,,,Yes,,,,,,,,,,Yes,East,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145344,After signing the deed,December 22 2022 - 12:00 AM,1915,To renovate,2,,Urban,127m²square meters,,Semi equipped,,2,12m²square meters,10m²square meters,1,,1,,,No,100m²square meters,,,35m²square meters,,,,,Not specified,Not specified,Not specified,7522 kg CO₂/m²,Not specified,No,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 109,000109000 €",€ 267267 €,No,Stationstraat 30 9600- Ronse,,4933940,East Falnders,4 m,,,,,Yes,4 mmeters,,,65m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10158376,After signing the deed,,1970,To renovate,4,4,,312m²square meters,75m²square meters,Semi equipped,,4,,,2,,3,,,No,2246m²square meters,,,,,,,,1031 kWh/m²kilowatt hour per square meters,F,20220316-0002564721-RES-1,Not specified,Not specified,No,Fuel oil,Yes,,,,Non flood zone,"Living area (residential, urban or rural)","€ 725,000725000 €","€ 1,6781678 €",No,‘Tussenbruggen 9 9700- Oudenaarde,http://www.axellenaerts.be,17993 - 8177,East Falnders,,1,,,Yes,,49.5 mmeters,,,,,,,,,,Yes,,,,,,,Yes,South,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161529,After signing the deed,,1931,To renovate,2,,,112m²square meters,,Semi equipped,,3,,,1,,1,,,No,150m²square meters,,Yes,,,,,,829 kWh/m²kilowatt hour per square meters,F,20220706-0002636428-RES-1,Not specified,Not specified,No,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 289,000289000 €",€ 438438 €,No,Alphonse Claeys-Bouüaertlaan 57/001 9030- Mariakerke,http://www.convas.be,1683 - 1751,East Falnders,5 m,1,,,,,,,Yes,,,,,,,,,,,,,,,Yes,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158374,After signing the deed,,1970,To renovate,4,4,,312m²square meters,75m²square meters,Semi equipped,,4,,,2,,3,,,No,2246m²square meters,,,,,,,,1031 kWh/m²kilowatt hour per square meters,F,20220316-0002564721-RES-1,Not specified,Not specified,No,Fuel oil,Yes,,,,Non flood zone,"Living area (residential, urban or rural)","€ 725,000725000 €","€ 1,6781678 €",No,‘Tussenbruggen 9 9700- Oudenaarde,http://www.axellenaerts.be,17994 - 8114,East Falnders,,1,,,Yes,,49.5 mmeters,,,,,,,,,,Yes,,,,,,,Yes,South,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164688,After signing the deed,,,Good,2,,,112m²square meters,,Installed,15m²square meters,2,16m²square meters,14m²square meters,1,,1,,,No,93m²square meters,,,,,,,,515 kWh/m²kilowatt hour per square meters,F,2011030-0000957021-000000011-8,Not specified,Not specified,No,Gas,,,,,,,"€ 185,000185000 €",,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20825 - VK,East Falnders,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009832,After signing the deed,,1979,Good,2,,Isolated,111m²square meters,26m²square meters,Installed,10m²square meters,3,13m²square meters,11m²square meters,1,,2,,,No,204m²square meters,Connected,Yes,56m²square meters,,,,,175 kWh/m²kilowatt hour per square meters,B,20220331-0002575199-RES-1,Not specified,Not specified,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 319,000319000 €",€ 716716 €,No,"Oude zandstraat , 30 9120- Beveren",http://www.c21locus.be,4841334,East Falnders,7.3 m,,10m²square meters,,,,,,,,,,,Yes,9120 Beveren met deelgemeenten,,,,2m²square meters,,,,,,,,,,,,,,,,,,50m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9997232,After signing the deed,September 15 2022 - 12:00 AM,1890,Just renovated,2,,Urban,184m²square meters,24m²square meters,Hyper equipped,6m²square meters,3,13m²square meters,11m²square meters,1,,2,,,No,80m²square meters,Connected,Yes,,No,No,Yes,No,87 kWh/m²kilowatt hour per square meters,A,EP03114,3251 kg CO₂/m²,Not specified,No,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 395,000395000 €",€ 710710 €,No,Stationstraat 30 9600- Ronse,,4797879,East Falnders,5 m,,44m²square meters,,Yes,,5 mmeters,8m²square meters,Yes,72m²square meters,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140836,After signing the deed,December 20 2022 - 12:00 AM,1938,Good,2,1,"Living area (residential, urban or rural)",144m²square meters,15m²square meters,Hyper equipped,12m²square meters,2,12m²square meters,10m²square meters,1,,1,,,No,170m²square meters,Connected,Yes,60m²square meters,No,No,Yes,No,Not specified,Not specified,Not specified,7119 kg CO₂/m²,Not specified,No,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 189,000189000 €",€ 332332 €,No,Stationstraat 30 9600- Ronse,,4933934,East Falnders,4.5 m,,,,,Yes,4.5 mmeters,10m²square meters,Yes,57m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158898,After signing the deed,,1966,To renovate,,3,,207m²square meters,,Semi equipped,,4,,,1,,2,,,No,1412m²square meters,,,,,,,,563 kWh/m²kilowatt hour per square meters,F,20220622-0002628221-RES-1,Not specified,Not specified,No,Fuel oil,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 425,000425000 €",€ 897897 €,No,Gentiel Antheunisplein 6 9700- Oudenaarde,http://www.immodhondt.be,2131 - 3489,East Falnders,,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151897,After signing the deed,January 1 2023 - 12:00 AM,1935,To renovate,3,3,"Living area (residential, urban or rural)",350m²square meters,30m²square meters,Not installed,,4,20m²square meters,16m²square meters,1,1,3,,,No,833m²square meters,Connected,Yes,550m²square meters,No,No,Yes,No,467 kWh/m²kilowatt hour per square meters,E,Not specified,9999 kg CO₂/m²,Not specified,,Gas,,,,,Non flood zone,,"€ 275,000275000 €",,Yes,Stationstraat 30 9600- Ronse,,4900797,East Falnders,10 m,2,14m²square meters,20m²square meters,,,15 mmeters,,Yes,200m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154060,After signing the deed,,1966,Good,4,2,,171m²square meters,42m²square meters,Installed,,3,,,1,,2,,,No,510m²square meters,,Yes,,,,,,697 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Gas,,,,,,,"€ 395,000395000 €",€ 964964 €,No,Kerkstraat 2 9170- St-Gillis-Waas,http://www.finehomes.be,1185 - 2049,East Falnders,,2,,,,,15 mmeters,,Yes,,,,,Yes,,,,,,,,,,Yes,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162731,After signing the deed,,1966,Just renovated,2,,,97m²square meters,,Semi equipped,,3,,,1,,1,,,No,146m²square meters,,,,,,,,291 kWh/m²kilowatt hour per square meters,C,20220615-0002620738-RES-1,Not specified,Not specified,No,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 272,000272000 €",€ 309309 €,No,Gentiel Antheunisplein 6 9700- Oudenaarde,http://www.immodhondt.be,2132 - 3487,East Falnders,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092041,After signing the deed,,1875,To renovate,2,,,118m²square meters,,Semi equipped,8m²square meters,2,16m²square meters,14m²square meters,,,,,,No,50m²square meters,,,,,,,,695 kWh/m²kilowatt hour per square meters,F,614903-00000005-0,Not specified,Not specified,No,Gas,,,,,,,"€ 179,000179000 €",€ 334334 €,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20196 - 3379,East Falnders,,,,,,,,,Yes,,,,,,,,,,21m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10095667,After signing the deed,,1950,To be done up,3,,,190m²square meters,,,10m²square meters,3,16m²square meters,10m²square meters,1,,2,,,No,157m²square meters,,,,,,,,337 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Fuel oil,,,,,Non flood zone,,"€ 220,000220000 €",€ 907907 €,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20215 - VK 4062,East Falnders,,,6m²square meters,,,,,,Yes,,,,,,,,,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161675,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,Non flood zone,,,,No,Antoon Catriestraat8a 9031- Drongen,http://www.zabra.be,4970956,East Falnders,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084873,At delivery,,2021,As new,2,,Urban,171m²square meters,22m²square meters,Hyper equipped,15m²square meters,3,15m²square meters,17m²square meters,2,,3,,Yes,No,195m²square meters,Connected,Yes,15m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 345,000345000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897357,East Falnders,,,14m²square meters,,,,,9m²square meters,Yes,,,,,,Gent en omstreken,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
